gid,visteam,hometeam,site,date,number,starttime,daynight,innings,tiebreaker,usedh,htbf,timeofgame,attendance,fieldcond,precip,sky,temp,winddir,windspeed,oscorer,forfeit,suspend,umphome,ump1b,ump2b,ump3b,umplf,umprf,wp,lp,save,gametype,vruns,hruns,wteam,lteam,line,batteries,lineups,box,pbp,season
CIN201103310,MIL,CIN,CIN09,20110331,0,2:13PM,day,,,false,,189,42398,unknown,unknown,overcast,41,fromlf,6,rothr701,,,gormb901,vanol901,randt901,belld901,,,ondrl001,axfoj001,,regular,6,7,CIN,MIL,y,both,y,y,y,2011
KCA201103310,ANA,KCA,KAN06,20110331,0,3:12PM,day,,,true,,195,40055,unknown,unknown,overcast,45,rtol,6,blacd701,,,demud901,danlk901,nauep901,eddid901,,,weavj003,hochl001,rodnf001,regular,4,2,ANA,KCA,y,both,y,y,y,2011
LAN201103310,SFN,LAN,LOS03,20110331,0,5:11PM,night,,,false,,170,56000,unknown,unknown,sunny,85,tocf,1,munse701,,,cedeg901,barkl901,culbf901,johna901,,,kersc001,linct001,broxj001,regular,1,2,LAN,SFN,y,both,y,y,y,2011
NYA201103310,DET,NYA,NYC21,20110331,0,1:11PM,day,,,true,,182,48226,unknown,unknown,unknown,42,ltor,12,sprej701,,,scotd901,mealj901,buckc901,iassd901,,,chamj002,cokep001,rivem002,regular,3,6,NYA,DET,y,both,y,y,y,2011
SLN201103310,SDN,SLN,STL10,20110331,0,3:19PM,day,,,false,,197,46368,unknown,unknown,cloudy,53,rtol,2,muelg701,,,kellj901,coope901,carlm901,timmt901,,,neshp001,augeb001,bellh001,regular,5,3,SDN,SLN,y,both,y,y,y,2011
WAS201103310,ATL,WAS,WAS11,20110331,0,1:11PM,day,,,false,,152,39055,unknown,unknown,overcast,41,fromrf,4,vincd701,,,welkt901,reynj901,dimum901,fleta901,,,lowed001,hernl003,kimbc001,regular,2,0,ATL,WAS,y,both,y,y,y,2011
CHN201104010,PIT,CHN,CHI11,20110401,0,1:25PM,day,,,false,,183,41358,unknown,unknown,overcast,41,tocf,7,frisd701,,,hallt901,millb901,cuzzp901,hoyej901,,,corrk001,dempr002,hanrj001,regular,6,3,PIT,CHN,y,both,y,y,y,2011
CLE201104010,CHA,CLE,CLE08,20110401,0,3:08PM,day,,,true,,189,41721,unknown,unknown,sunny,43,ltor,7,maveb701,,,wintm901,everm901,wegnm901,guccc901,,,buehm001,carmf001,,regular,15,10,CHA,CLE,y,both,y,y,y,2011
COL201104010,ARI,COL,DEN02,20110401,0,2:11PM,day,,,false,,244,49374,unknown,unknown,sunny,62,rtol,3,einsd701,,,tscht901,nelsj901,fostm901,welkb901,,,demes001,reynm002,putzj001,regular,7,6,ARI,COL,y,both,y,y,y,2011
FLO201104010,NYN,FLO,MIA01,20110401,0,7:21PM,night,,,false,,162,41237,unknown,unknown,cloudy,85,fromcf,13,jernr701,,,davig901,holbs901,gibsg901,ticht901,,,johnj009,pelfm001,,regular,2,6,FLO,NYN,y,both,y,y,y,2011
KCA201104010,ANA,KCA,KAN06,20110401,0,7:10PM,night,,,true,,143,13302,unknown,unknown,cloudy,62,ltor,17,blacd701,,,danlk901,nauep901,eddid901,demud901,,,sorij001,kohnm001,,regular,1,2,KCA,ANA,y,both,y,y,y,2011
LAN201104010,SFN,LAN,LOS03,20110401,0,7:11PM,night,,,false,,172,44834,unknown,unknown,sunny,73,torf,4,hartd701,,,barkl901,culbf901,johna901,cedeg901,,,billc001,sancj002,broxj001,regular,3,4,LAN,SFN,y,both,y,y,y,2011
OAK201104010,SEA,OAK,OAK01,20110401,0,7:09PM,night,,,true,,170,36067,unknown,unknown,unknown,64,ltor,12,dybdc701,,,darlg901,drecb901,emmep901,drakr901,,,hernf002,bresc001,,regular,6,2,SEA,OAK,y,both,y,y,y,2011
PHI201104010,HOU,PHI,PHI13,20110401,0,1:11PM,day,,,false,,165,45237,wet,drizzle,unknown,40,ltor,10,macom701,,,laynj901,davib902,wendh902,knigb901,,,baezd001,lyonb003,,regular,4,5,PHI,HOU,y,both,y,y,y,2011
TBA201104010,BAL,TBA,STP01,20110401,0,7:13PM,night,,,true,,128,34078,unknown,unknown,dome,72,rtol,0,fergj701,,,hirsj901,bellw901,diazl901,barrs901,,,guthj001,pricd001,,regular,4,1,BAL,TBA,y,both,y,y,y,2011
TEX201104010,BOS,TEX,ARL02,20110401,0,3:10PM,day,,,true,,208,50146,unknown,unknown,sunny,86,fromrf,20,wells701,,,mcclt901,barrt901,rungb901,hudsm901,,,olivd001,bardd001,,regular,5,9,TEX,BOS,y,both,y,y,y,2011
TOR201104010,MIN,TOR,TOR02,20110401,0,7:36PM,night,,,true,,165,47984,dry,none,dome,68,unknown,0,perkd701,,,westj901,herna901,schrp901,fairc901,,,romer002,pavac001,,regular,3,13,TOR,MIN,y,both,y,y,y,2011
CHN201104020,PIT,CHN,CHI11,20110402,0,12:06PM,day,,,false,,172,35782,unknown,unknown,cloudy,46,ltor,12,frisd701,,,millb901,cuzzp901,hoyej901,hallt901,,,marss002,meeke001,marmc001,regular,3,5,CHN,PIT,y,both,y,y,y,2011
CIN201104020,MIL,CIN,CIN09,20110402,0,7:10PM,night,,,false,,151,37967,unknown,unknown,cloudy,56,ltor,24,rothr701,,,vanol901,randt901,belld901,gormb901,,,woodt004,marcs001,cordf002,regular,2,4,CIN,MIL,y,both,y,y,y,2011
CLE201104020,CHA,CLE,CLE08,20110402,0,1:06PM,day,,,true,,166,9853,unknown,unknown,sunny,44,ltor,16,maveb701,,,everm901,wegnm901,guccc901,wintm901,,,jacke001,carrc003,,regular,8,3,CHA,CLE,y,both,y,y,y,2011
COL201104020,ARI,COL,DEN02,20110402,0,6:11PM,night,,,false,,191,40216,unknown,unknown,cloudy,79,torf,12,einsd701,,,nelsj901,fostm901,welkb901,tscht901,,,delaj001,hudsd001,streh001,regular,1,3,COL,ARI,y,both,y,y,y,2011
FLO201104020,NYN,FLO,MIA01,20110402,0,7:10PM,night,,,false,,185,32495,unknown,unknown,sunny,84,fromrf,10,jernr701,,,holbs901,gibsg901,ticht901,davig901,,,rodrf003,webbr001,boyeb001,regular,6,4,NYN,FLO,y,both,y,y,y,2011
KCA201104020,ANA,KCA,KAN06,20110402,0,12:10PM,day,,,true,,165,17328,unknown,unknown,cloudy,52,rtol,5,blacd701,,,nauep901,eddid901,demud901,danlk901,,,crowa001,jepsk001,sorij001,regular,4,5,KCA,ANA,y,both,y,y,y,2011
LAN201104020,SFN,LAN,LOS03,20110402,0,1:12PM,day,,,false,,192,40809,unknown,unknown,cloudy,67,tocf,4,munse701,,,culbf901,johna901,cedeg901,barkl901,,,cainm001,lillt001,,regular,10,0,SFN,LAN,y,both,y,y,y,2011
NYA201104020,DET,NYA,NYC21,20110402,0,4:11PM,day,,,true,,210,41462,unknown,unknown,cloudy,52,rtol,13,sprej701,,,mealj901,buckc901,iassd901,scotd901,,,burna001,pennb002,rivem002,regular,6,10,NYA,DET,y,both,y,y,y,2011
OAK201104020,SEA,OAK,OAK01,20110402,0,6:07PM,night,,,true,,178,15088,unknown,unknown,unknown,58,fromlf,13,dybdc701,,,drecb901,emmep901,drakr901,darlg901,,,ray-c001,fuenb001,leagb001,regular,5,2,SEA,OAK,y,both,y,y,y,2011
PHI201104020,HOU,PHI,PHI13,20110402,0,7:06PM,night,,,false,,172,45455,unknown,unknown,unknown,51,torf,17,macom701,,,davib902,wendh902,knigb901,laynj901,,,lee-c003,rodrw002,,regular,4,9,PHI,HOU,y,both,y,y,y,2011
SLN201104020,SDN,SLN,STL10,20110402,0,3:11PM,day,,,false,,163,38527,unknown,unknown,cloudy,65,rtol,10,smitm701,,,coope901,carlm901,timmt901,kellj901,,,richc002,westj001,,regular,11,3,SDN,SLN,y,both,y,y,y,2011
TBA201104020,BAL,TBA,STP01,20110402,0,7:10PM,night,,,true,,171,22164,unknown,unknown,dome,72,fromlf,0,fergj701,,,bellw901,diazl901,barrs901,hirsj901,,,accaj001,shiej002,gregk001,regular,3,1,BAL,TBA,y,both,y,y,y,2011
TEX201104020,BOS,TEX,ARL02,20110402,0,7:16PM,night,,,true,,190,48356,unknown,unknown,sunny,83,rtol,14,schid701,,,barrt901,rungb901,hudsm901,mcclt901,,,lewic001,lackj001,,regular,5,12,TEX,BOS,y,both,y,y,y,2011
TOR201104020,MIN,TOR,TOR02,20110402,0,1:08PM,day,,,true,,150,27194,dry,none,dome,68,unknown,0,uttes701,,,herna901,schrp901,fairc901,westj901,,,drabk001,lirif001,,regular,1,6,TOR,MIN,y,both,y,y,y,2011
WAS201104020,ATL,WAS,WAS11,20110402,0,1:37PM,day,,,false,,176,21941,unknown,unknown,unknown,43,fromlf,8,vincd701,,,reynj901,dimum901,fleta901,welkt901,,,lannj001,hanst001,burns001,regular,3,6,WAS,ATL,y,both,y,y,y,2011
CHN201104030,PIT,CHN,CHI11,20110403,0,1:25PM,day,,,false,,162,30857,unknown,unknown,overcast,64,rtol,8,frisd701,,,cuzzp901,hoyej901,hallt901,millb901,,,karsj001,marmc001,hanrj001,regular,5,4,PIT,CHN,y,both,y,y,y,2011
CIN201104030,MIL,CIN,CIN09,20110403,0,1:10PM,day,,,false,,186,24805,unknown,unknown,cloudy,58,fromrf,12,rothr701,,,randt901,belld901,gormb901,vanol901,,,arrob001,wolfr001,,regular,3,12,CIN,MIL,y,both,y,y,y,2011
CLE201104030,CHA,CLE,CLE08,20110403,0,1:05PM,day,,,true,,147,8726,unknown,unknown,overcast,46,tocf,7,brosc701,,,wegnm901,guccc901,wintm901,everm901,,,mastj001,dankj001,,regular,1,7,CLE,CHA,y,both,y,y,y,2011
FLO201104030,NYN,FLO,MIA01,20110403,0,1:11PM,day,,,false,,201,18936,unknown,unknown,cloudy,85,fromcf,12,jernr701,,,gibsg901,ticht901,davig901,holbs901,,,dickr001,vazqj001,,regular,9,2,NYN,FLO,y,both,y,y,y,2011
KCA201104030,ANA,KCA,KAN06,20110403,0,1:10PM,day,,,true,,286,14085,unknown,unknown,cloudy,79,unknown,27,blacd701,,,eddid901,demud901,danlk901,nauep901,,,collt001,bulgj001,,regular,9,12,KCA,ANA,y,both,y,y,y,2011
LAN201104030,SFN,LAN,LOS03,20110403,0,5:10PM,night,,,false,,183,50896,unknown,unknown,cloudy,65,tocf,9,hartd701,,,johna901,cedeg901,barkl901,culbf901,,,kuroh001,runzd001,broxj001,regular,5,7,LAN,SFN,y,both,y,y,y,2011
NYA201104030,DET,NYA,NYC21,20110403,0,1:08PM,day,,,true,,200,40574,unknown,unknown,cloudy,52,tolf,20,sprej701,,,buckc901,iassd901,scotd901,mealj901,,,schem001,hughp001,valvj001,regular,10,7,DET,NYA,y,both,y,y,y,2011
OAK201104030,SEA,OAK,OAK01,20110403,0,1:08PM,day,,,true,,164,22292,unknown,unknown,sunny,62,ltor,7,ducam701,,,emmep901,drakr901,darlg901,drecb901,,,gonzg003,fistd001,,regular,1,7,OAK,SEA,y,both,y,y,y,2011
PHI201104030,HOU,PHI,PHI13,20110403,0,1:37PM,day,,,false,,166,45562,unknown,unknown,cloudy,54,ltor,16,dunnj701,,,wendh902,knigb901,laynj901,davib902,,,oswar001,norrb001,,regular,3,7,PHI,HOU,y,both,y,y,y,2011
SLN201104030,SDN,SLN,STL10,20110403,0,1:17PM,day,,,false,,123,36414,unknown,unknown,cloudy,75,rtol,27,durbj701,,,carlm901,timmt901,kellj901,coope901,,,garcj004,mosed001,,regular,0,2,SLN,SDN,y,both,y,y,y,2011
TBA201104030,BAL,TBA,STP01,20110403,0,1:42PM,day,,,true,,162,17408,unknown,unknown,dome,72,ltor,0,fergj701,,,diazl901,barrs901,hirsj901,bellw901,,,britz001,daviw001,,regular,5,1,BAL,TBA,y,both,y,y,y,2011
TEX201104030,BOS,TEX,ARL02,20110403,0,1:09PM,day,,,true,,161,46326,unknown,unknown,cloudy,79,rtol,29,wells701,,,rungb901,hudsm901,mcclt901,barrt901,,,harrm001,buchc001,,regular,1,5,TEX,BOS,y,both,y,y,y,2011
TOR201104030,MIN,TOR,TOR02,20110403,0,1:07PM,day,,,true,,178,35505,dry,none,dome,68,unknown,0,hobbd701,,,schrp901,fairc901,westj901,herna901,,,blacn001,cecib001,nathj001,regular,4,3,MIN,TOR,y,both,y,y,y,2011
WAS201104030,ATL,WAS,WAS11,20110403,0,1:36PM,day,,,false,,167,22210,unknown,unknown,cloudy,53,ltor,12,vincd701,,,dimum901,fleta901,welkt901,reynj901,,,hudst001,zimmj003,,regular,11,2,ATL,WAS,y,both,y,y,y,2011
BAL201104040,DET,BAL,BAL12,20110404,0,3:07PM,day,,,true,,157,46593,unknown,unknown,sunny,76,tocf,4,hennj701,,,cousd901,joycj901,kulpr901,wolfj901,,,arrij001,porcr001,,regular,1,5,BAL,DET,y,both,y,y,y,2011
CHN201104040,ARI,CHN,CHI11,20110404,0,1:21PM,day,,,false,,169,26292,unknown,unknown,unknown,47,ltor,15,frisd701,,,timmt901,kellj901,coope901,carlm901,,,wellr001,saunj001,marmc001,regular,1,4,CHN,ARI,y,both,y,y,y,2011
